StdParamName,SourceGroup,LogTransf,UseInStressorID,DirIncStress,SSIndex,SSTVname.bmi,SensMax.bmi,SensMin.bmi,SSTVname.alg,SensMax.alg,SensMin.alg,SSTVname.fish,SensMax.fish,SensMin.fish,Label
PCB_209_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-209 (pg/g)
PCB_005_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-005 (pg/g)
PCB_007_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-007 (pg/g)
PCB_010_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-010 (pg/g)
PCB_014_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-014 (pg/g)
PCB_023_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-023 (pg/g)
PCB_034_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-034 (pg/g)
PCB_038_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-038 (pg/g)
PCB_039_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-039 (pg/g)
PCB_054_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-054 (pg/g)
PCB_057_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-057 (pg/g)
PCB_058_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-058 (pg/g)
PCB_068_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-068 (pg/g)
PCB_072_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-072 (pg/g)
PCB_073_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-073 (pg/g)
PCB_078_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-078 (pg/g)
PCB_080_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-080 (pg/g)
PCB_081_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-081 (pg/g)
PCB_094_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-094 (pg/g)
PCB_104_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-104 (pg/g)
PCB_106_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-106 (pg/g)
PCB_111_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-111 (pg/g)
PCB_112_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-112 (pg/g)
PCB_120_pg_g,Freshwater Sediment,1,0,Dec,,,,,,,,,,,PCB-120 (pg/g)
PCB_121_pg_g,Freshwater Sediment,1,0,Dec,,,,,,,,,,,PCB-121 (pg/g)
PCB_127_pg_g,Freshwater Sediment,1,0,Dec,,,,,,,,,,,PCB-127 (pg/g)
PCB_142_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-142 (pg/g)
PCB_145_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-145 (pg/g)
PCB_148_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-148 (pg/g)
PCB_150_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-150 (pg/g)
PCB_152_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-152 (pg/g)
PCB_155_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-155 (pg/g)
PCB_161_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-161 (pg/g)
PCB_165_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-165 (pg/g)
